Date,Open,High,Low,Close,Adj Close,Volume
2019-06-19,109.000000,111.400002,101.400002,103.250000,103.250000,9485233
2019-06-20,102.349998,115.900002,98.750000,114.550003,114.550003,12294891
2019-06-21,114.650002,116.000000,108.300003,109.550003,109.550003,7458204
2019-06-24,111.250000,113.949997,108.900002,111.949997,111.949997,5281511
2019-06-25,111.000000,112.500000,109.099998,110.050003,110.050003,3596268
2019-06-26,109.250000,114.650002,108.550003,113.099998,113.099998,4805320
2019-06-27,113.000000,114.550003,111.800003,112.400002,112.400002,3587565
2019-06-28,112.300003,113.000000,107.599998,108.699997,108.699997,4515045
2019-07-01,109.599998,110.599998,107.650002,109.150002,109.150002,3090525
2019-07-02,108.500000,108.500000,99.900002,100.849998,100.849998,9194093
2019-07-03,100.849998,103.849998,98.900002,99.800003,99.800003,7153589
2019-07-04,100.599998,102.150002,95.250000,96.250000,96.250000,6957778
2019-07-05,95.000000,96.800003,87.449997,88.199997,88.199997,13787113
2019-07-08,87.000000,94.550003,85.699997,93.099998,93.099998,13166376
2019-07-09,94.900002,97.000000,90.349998,91.349998,91.349998,9713239
2019-07-10,92.000000,93.949997,91.599998,93.000000,93.000000,4796501
2019-07-11,94.000000,95.000000,90.750000,92.400002,92.400002,5931122
2019-07-12,93.199997,94.900002,91.699997,94.150002,94.150002,4338539
2019-07-15,95.449997,99.300003,92.650002,93.199997,93.199997,8062444
2019-07-16,94.349998,106.300003,92.300003,103.900002,103.900002,14806539
2019-07-17,108.250000,108.400002,97.550003,98.449997,98.449997,15557782
2019-07-18,88.650002,90.300003,83.699997,85.800003,85.800003,15911076
2019-07-19,86.000000,86.900002,82.550003,83.250000,83.250000,9258507
2019-07-22,83.000000,92.400002,81.750000,91.150002,91.150002,13900759
2019-07-23,89.400002,93.849998,87.150002,90.699997,90.699997,10737444
2019-07-24,91.449997,93.650002,88.199997,89.150002,89.150002,7062318
2019-07-25,88.500000,90.400002,85.800003,87.650002,87.650002,7466042
2019-07-26,88.750000,96.900002,87.099998,96.099998,96.099998,12249908
2019-07-29,96.000000,98.650002,91.300003,94.750000,94.750000,8859707
2019-07-30,94.849998,96.349998,84.400002,86.099998,86.099998,8641090
2019-07-31,86.500000,92.300003,84.849998,91.300003,91.300003,9792965
2019-08-01,89.199997,91.150002,85.750000,88.400002,88.400002,6805505
2019-08-02,87.900002,90.900002,86.849998,88.300003,88.300003,7699564
2019-08-05,88.000000,88.000000,79.500000,81.099998,81.099998,9997373
2019-08-06,80.949997,86.599998,79.800003,85.400002,85.400002,11140461
2019-08-07,86.650002,92.000000,86.199997,86.849998,86.849998,11714516
2019-08-08,89.550003,89.849998,84.949997,89.150002,89.150002,8532865
2019-08-09,91.000000,92.400002,81.199997,82.099998,82.099998,14064831
